# sensor_id  dir_x  dir_y  dir_z  pos_x  pos_y  pos_z  face
326 -0.603871 0.797082 -0.000863471 -38.9884 51.4628 -5.50913 0
327 -0.60392 0.797045 -0.000863467 -38.9925 51.4613 -4.00222 0
328 -0.603969 0.797007 -0.000863463 -38.9967 51.4597 -2.49533 0
329 -0.604019 0.79697 -0.000863459 -39.0008 51.4582 -0.988425 0
330 -0.604067 0.796933 -0.000863455 -39.005 51.4568 0.518477 0
331 -0.604117 0.796896 -0.000863453 -39.0091 51.4552 2.02538 0
332 -0.604167 0.796858 -0.000863449 -39.0134 51.4537 3.53229 0
333 -0.604216 0.79682 -0.000863444 -39.0176 51.4521 5.03919 0
334 -0.604265 0.796783 -0.00086344 -39.0217 51.4506 6.54608 0
335 -0.604315 0.796745 -0.000863437 -39.0259 51.449 8.05299 0
336 -0.604364 0.796708 -0.000863433 -39.03 51.4475 9.5599 0
337 -0.604413 0.79667 -0.000863429 -39.0342 51.4461 11.0669 0
338 -0.604463 0.796634 -0.000863425 -39.0383 51.4445 12.5738 0
339 -0.604512 0.796596 -0.000863421 -39.0425 51.443 14.0807 0
340 -0.604561 0.796558 -0.000863418 -39.0466 51.4414 15.5876 0
341 -0.604611 0.79652 -0.000863414 -39.0507 51.4399 17.0945 0
342 -0.60466 0.796483 -0.00086341 -39.0549 51.4383 18.6013 0
343 -0.604709 0.796445 -0.000863406 -39.0591 51.4368 20.1082 0
344 -0.604759 0.796409 -0.000863402 -39.0634 51.4353 21.6151 0
345 -0.604808 0.796371 -0.000863399 -39.0675 51.4339 23.122 0
346 -0.604857 0.796334 -0.000863395 -39.0717 51.4324 24.6289 0
347 -0.604906 0.796296 -0.000863391 -39.0758 51.4308 26.1358 0
348 -0.604957 0.796258 -0.000863386 -39.08 51.4293 27.6427 0
349 -0.605006 0.79622 -0.000863383 -39.0841 51.4277 29.1496 0
350 -0.605055 0.796184 -0.00086338 -39.0882 51.4262 30.6565 0
351 -0.605104 0.796146 -0.000863376 -39.0924 51.4246 32.1634 0
352 -0.622404 0.782695 -0.000869052 -40.1233 50.552 -32.6367 0
353 -0.622453 0.782657 -0.00086905 -40.1276 50.5504 -31.1298 0
354 -0.622501 0.782618 -0.000869045 -40.1316 50.5488 -29.6229 0
355 -0.62255 0.78258 -0.000869042 -40.1358 50.5472 -28.116 0
356 -0.622598 0.782541 -0.000869037 -40.1398 50.5456 -26.6091 0
357 -0.622647 0.782503 -0.000869034 -40.1439 50.544 -25.1022 0
358 -0.622695 0.782463 -0.00086903 -40.148 50.5424 -23.5953 0
